Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
2/19/1999, M, M,0,0,0
2/20/1999, M, M,0,0,0
2/21/1999, M, M,0,0,0
2/22/1999, M, M,0.03,0.5, M
2/23/1999, M, M,0,0, M
2/24/1999, M, M,0,0,0
2/25/1999, M, M,0,0,0
2/26/1999, M, M,0,0,0
2/27/1999, M, M,0,0,0
2/28/1999, M, M,0,0,0
3/1/1999, M, M,0.25,0,0
3/2/1999, M, M,0.13,1, M
3/3/1999, M, M,0.01, T,0
3/4/1999, M, M,1.91,4,0
3/5/1999, M, M,0.21,8, M
3/6/1999, M, M,0,0, M
3/7/1999, M, M,0,0, M
3/8/1999, M, M,0.5,7, M
3/9/1999, M, M,0,0, M
3/10/1999, M, M,0,0, M
3/11/1999, M, M,0,0, M
3/12/1999, M, M,0,0, M
3/13/1999, M, M,0,0, M
3/14/1999, M, M,0,0,0
3/15/1999, M, M,0,0,0
3/16/1999, M, M,0,0,0
3/17/1999, M, M,0,0,0
3/18/1999, M, M,0,0,0
3/19/1999, M, M, T, T,0
3/20/1999, M, M,0,0,0
3/21/1999, M, M,0,0,0
3/22/1999, M, M,0.63,1,0
3/23/1999, M, M,0.02, T,0
3/24/1999, M, M,0,0,0
3/25/1999, M, M, T, T,0
3/26/1999, M, M,0,0,0
3/27/1999, M, M,0,0,0
3/28/1999, M, M,0,0,0
3/29/1999, M, M,0,0,0
3/30/1999, M, M,0,0,0
3/31/1999, M, M,0,0,0
4/1/1999, M, M,0.04,0,0
4/2/1999, M, M,0.13,0,0
4/3/1999, M, M,0,0,0
4/4/1999, M, M,0,0,0
4/5/1999, M, M,0.38,0,0
4/6/1999, M, M,0,0,0
4/7/1999, M, M,0.16,0,0
4/8/1999, M, M,0.04,0,0
4/9/1999, M, M,0,0,0
4/10/1999, M, M,0,0,0
4/11/1999, M, M,0,0,0
4/12/1999, M, M,0.67,0,0
4/13/1999, M, M,0,0,0
4/14/1999, M, M,0,0,0
4/15/1999, M, M,0,0,0
4/16/1999, M, M,0,0,0
4/17/1999, M, M,0,0,0
4/18/1999, M, M,0,0,0
4/19/1999, M, M,0.61,0,0
4/20/1999, M, M,0.07,0,0
4/21/1999, M, M,0.08,0,0
4/22/1999, M, M,0,0,0
4/23/1999, M, M,0.66,0,0
4/24/1999, M, M,0,0,0
4/25/1999, M, M,0,0,0
4/26/1999, M, M,0.03,0,0
4/27/1999, M, M,0,0,0
4/28/1999, M, M,0,0,0
4/29/1999, M, M,0,0,0
4/30/1999, M, M,0,0,0
5/1/1999, M, M,0,0,0
5/2/1999, M, M,0,0,0
5/3/1999, M, M,0,0,0
5/4/1999, M, M,0,0,0
5/5/1999, M, M,0.02,0,0
5/6/1999, M, M,0,0,0
5/7/1999, M, M,0,0,0
5/8/1999, M, M,0,0,0
5/9/1999, M, M,0.39,0,0
5/10/1999, M, M,0,0,0
5/11/1999, M, M,0,0,0
5/12/1999, M, M,0,0,0
5/13/1999, M, M,0,0,0
5/14/1999, M, M,0,0,0
5/15/1999, M, M,0,0,0
5/16/1999, M, M,0,0,0
5/17/1999, M, M,0,0,0
5/18/1999, M, M,0,0,0
5/19/1999, M, M,0,0,0
5/20/1999, M, M,0,0,0
5/21/1999, M, M,0,0,0
5/22/1999, M, M,0,0,0
5/23/1999, M, M,0,0,0
5/24/1999, M, M,0,0,0
5/25/1999, M, M,0.87,0,0
5/26/1999, M, M,0.18,0,0
5/27/1999, M, M, T,0,0
5/28/1999, M, M,0,0,0
5/29/1999, M, M,0,0,0
5/30/1999, M, M,0,0,0
5/31/1999, M, M,0,0,0
6/1/1999, M, M,0,0,0
6/2/1999, M, M,0.12,0,0
6/3/1999, M, M,0.12,0,0
6/4/1999, M, M,0.02,0,0
6/5/1999, M, M,0,0,0
6/6/1999, M, M,0,0,0
6/7/1999, M, M,0,0,0
6/8/1999, M, M,0,0,0
6/9/1999, M, M,0,0,0
6/10/1999, M, M,0,0,0
6/11/1999, M, M,0,0,0
6/12/1999, M, M,0,0,0
6/13/1999, M, M,0,0,0
6/14/1999, M, M,0,0,0
6/15/1999, M, M,0.25,0,0
6/16/1999, M, M,0,0,0
6/17/1999, M, M,0,0,0
6/18/1999, M, M,0.27,0,0
6/19/1999, M, M,0,0,0
6/20/1999, M, M,0,0,0
6/21/1999, M, M,0,0,0
6/22/1999, M, M,0,0,0
6/23/1999, M, M,0,0,0
6/24/1999, M, M,0,0,0
6/25/1999, M, M,0.07,0,0
6/26/1999, M, M,0.38,0,0
6/27/1999, M, M,0,0,0
6/28/1999, M, M,1.83,0,0
6/29/1999, M, M,0.02,0,0
6/30/1999, M, M,0.23,0,0
7/1/1999, M, M,0,0,0
7/2/1999, M, M,0.57,0,0
7/3/1999, M, M,0.03,0,0
7/4/1999, M, M,1.05,0,0
7/5/1999, M, M,0,0,0
7/6/1999, M, M,0,0,0
7/7/1999, M, M,0,0,0
7/8/1999, M, M, T,0,0
7/9/1999, M, M,0,0,0
7/10/1999, M, M,0.33,0,0
7/11/1999, M, M,0,0,0
7/12/1999, M, M,0,0,0
7/13/1999, M, M,0,0,0
7/14/1999, M, M,0,0,0
7/15/1999, M, M,0,0,0
7/16/1999, M, M,0,0,0
7/17/1999, M, M,0,0,0
7/18/1999, M, M,0,0,0
7/19/1999, M, M,0.01,0,0
7/20/1999, M, M,0.08,0,0
7/21/1999, M, M,0,0,0
7/22/1999, M, M,0,0,0
7/23/1999, M, M,0,0,0
7/24/1999, M, M,0.15,0,0
7/25/1999, M, M,0,0,0
7/26/1999, M, M,0.14,0,0
7/27/1999, M, M,0,0,0
7/28/1999, M, M,0,0,0
7/29/1999, M, M,0.02,0,0
7/30/1999, M, M,0,0,0
7/31/1999, M, M,0,0,0
8/1/1999, M, M,0.1,0,0
8/2/1999, M, M,0,0,0
8/3/1999, M, M,0,0,0
8/4/1999, M, M,0,0,0
8/5/1999, M, M,0.24,0,0
8/6/1999, M, M,0,0,0
8/7/1999, M, M,0.05,0,0
8/8/1999, M, M,0.15,0,0
8/9/1999, M, M,0.07,0,0
8/10/1999, M, M,0,0,0
8/11/1999, M, M,0.21,0,0
8/12/1999, M, M,0,0,0
8/13/1999, M, M,0,0,0
8/14/1999, M, M,0.31,0,0
8/15/1999, M, M,0,0,0
8/16/1999, M, M,0,0,0
8/17/1999, M, M,0,0,0
8/18/1999, M, M,0,0,0
8/19/1999, M, M,0,0,0
8/20/1999, M, M,0.42,0,0
8/21/1999, M, M,0.27,0,0
8/22/1999, M, M,0,0,0
8/23/1999, M, M,0,0,0
8/24/1999, M, M,0,0,0
8/25/1999, M, M,0,0,0
8/26/1999, M, M,0,0,0
8/27/1999, M, M,0,0,0
8/28/1999, M, M,0.05,0,0
8/29/1999, M, M,0,0,0
8/30/1999, M, M,0,0,0
8/31/1999, M, M,0,0,0
9/1/1999, M, M,0,0,0
9/2/1999, M, M,0,0,0
9/3/1999, M, M,0,0,0
9/4/1999, M, M,0,0,0
9/5/1999, M, M,0,0,0
9/6/1999, M, M, T,0,0
9/7/1999, M, M,0.57,0,0
9/8/1999, M, M,0.22,0,0
9/9/1999, M, M,0.16,0,0
9/10/1999, M, M,0.2,0,0
9/11/1999, M, M,0,0,0
9/12/1999, M, M,0,0,0
9/13/1999, M, M,0,0,0
9/14/1999, M, M,0.22,0,0
9/15/1999, M, M,0.23,0,0
9/16/1999, M, M,0,0,0
9/17/1999, M, M,2.33,0,0
9/18/1999, M, M,0,0,0
9/19/1999, M, M,0,0,0
9/20/1999, M, M,0,0,0
9/21/1999, M, M,0.66,0,0
9/22/1999, M, M,0.01,0,0
9/23/1999, M, M,0,0,0
9/24/1999, M, M,0,0,0
9/25/1999, M, M,0,0,0
9/26/1999, M, M,0,0,0
9/27/1999, M, M,0,0,0
9/28/1999, M, M,0,0,0
9/29/1999, M, M,0,0,0
9/30/1999, M, M,0.87,0,0
10/1/1999, M, M,0,0,0
10/2/1999, M, M,0,0,0
10/3/1999, M, M,0,0,0
10/4/1999, M, M,0.76,0,0
10/5/1999, M, M,0.03,0,0
10/6/1999, M, M,0.01,0,0
10/7/1999, M, M,0,0,0
10/8/1999, M, M,0,0,0
10/9/1999, M, M,0.11,0,0
10/10/1999, M, M,0.01,0,0
10/11/1999, M, M,0.07,0,0
10/12/1999, M, M,0,0,0
10/13/1999, M, M,0,0,0
10/14/1999, M, M,1.57,0,0
10/15/1999, M, M,0,0,0
10/16/1999, M, M,0,0,0
10/17/1999, M, M,0,0,0
10/18/1999, M, M,0.22,0,0
10/19/1999, M, M,0,0,0
10/20/1999, M, M,0.04,0,0
10/21/1999, M, M,0,0,0
10/22/1999, M, M,0,0,0
10/23/1999, M, M,0.15,0,0
10/24/1999, M, M,0.22,0,0
10/25/1999, M, M,0.01,0,0
10/26/1999, M, M,0,0,0
10/27/1999, M, M,0.02,0,0
10/28/1999, M, M,0,0,0
10/29/1999, M, M,0,0,0
10/30/1999, M, M,0,0,0
10/31/1999, M, M,0,0,0
11/1/1999, M, M,0.02,0,0
11/2/1999, M, M,0,0,0
11/3/1999, M, M,0.23,0,0
11/4/1999, M, M,0.07,0,0
11/5/1999, M, M,0,0,0
11/6/1999, M, M,0,0,0
11/7/1999, M, M,0,0,0
11/8/1999, M, M,0,0,0
11/9/1999, M, M,0,0,0
11/10/1999, M, M,0,0,0
11/11/1999, M, M,0,0,0
11/12/1999, M, M,0,0,0
11/13/1999, M, M,0,0,0
11/14/1999, M, M,0,0,0
11/15/1999, M, M,0.23,0,0
11/16/1999, M, M,0.01,0.3,0
11/17/1999, M, M, T, T, T
11/18/1999, M, M,0,0,0
11/19/1999, M, M,0,0,0
11/20/1999, M, M,0,0,0
11/21/1999, M, M,0,0,0
11/22/1999, M, M,0.27,0,0
11/23/1999, M, M,0,0,0
11/24/1999, M, M,0,0,0
11/25/1999, M, M,0,0,0
11/26/1999, M, M,0,0,0
11/27/1999, M, M,0,0,0
11/28/1999, M, M,0,0,0
11/29/1999, M, M,1.7,0,0
11/30/1999, M, M,0.44,4, M
12/1/1999, M, M,0,0, M
12/2/1999, M, M,0,0, M
12/3/1999, M, M,0,0,0
12/4/1999, M, M,0,0,0
12/5/1999, M, M,0,0,0
12/6/1999, M, M,0.12,0,0
12/7/1999, M, M,0.05,0,0
12/8/1999, M, M,0,0,0
12/9/1999, M, M,0,0,0
12/10/1999, M, M,0,0,0
12/11/1999, M, M,0,0,0
12/12/1999, M, M,0,0,0
12/13/1999, M, M,0.42,0,0
12/14/1999, M, M,0.01,0,0
12/15/1999, M, M,0,0,0
12/16/1999, M, M,0,0,0
12/17/1999, M, M,0,0,0
12/18/1999, M, M,0,0,0
12/19/1999, M, M,0,0,0
12/20/1999, M, M,0.01,0,0
12/21/1999, M, M,0,0,0
12/22/1999, M, M,0,0,0
12/23/1999, M, M,0,0,0
12/24/1999, M, M,0,0,0
12/25/1999, M, M,0,0,0
12/26/1999, M, M,0,0,0
12/27/1999, M, M,0.11,1.8, M
12/28/1999, M, M,0.04,0.8, M
12/29/1999, M, M,0,0, M
12/30/1999, M, M,0,0,0
12/31/1999, M, M,0,0,0
1/1/2000, M, M,0,0,0
1/2/2000, M, M,0,0,0
1/3/2000, M, M,0,0,0
1/4/2000, M, M,0.62,0,0
1/5/2000, M, M,0.17,0,0
1/6/2000, M, M,0,0,0
1/7/2000, M, M,0,0,0
1/8/2000, M, M,0,0,0
1/9/2000, M, M,0,0,0
1/10/2000, M, M,0.03,0,0
1/11/2000, M, M,0.25,0,0
1/12/2000, M, M,0,0,0
1/13/2000, M, M,0.03,2.5, M
1/14/2000, M, M,0,0, M
1/15/2000, M, M,0,0, M
1/16/2000, M, M,0,0,0
1/17/2000, M, M,0,0,0
1/18/2000, M, M,0,0,0
1/19/2000, M, M,0,0,0
1/20/2000, M, M,0.32,1.5, M
1/21/2000, M, M,0.48,5, M
1/22/2000, M, M,0,0, M
1/23/2000, M, M,0,0, M
1/24/2000, M, M,0.2,2.5, M
1/25/2000, M, M,0,0, M
1/26/2000, M, M,0.28,4, M
1/27/2000, M, M,0,0, M
1/28/2000, M, M,0.25,2, M
1/29/2000, M, M,0,0, M
1/30/2000, M, M,0,0, M
1/31/2000, M, M,0.26,4, M
2/1/2000, M, M,0,0, M
2/2/2000, M, M,0.17,0, M
2/3/2000, M, M,0,0,0
2/4/2000, M, M,0,0,0
2/5/2000, M, M,0,0,0
2/6/2000, M, M,0,0,0
2/7/2000, M, M,0,0,0
2/8/2000, M, M,0,0,0
2/9/2000, M, M,0,0,0
2/10/2000, M, M,0,0,0
2/11/2000, M, M,0,0,0
2/12/2000, M, M,0,0,0
2/13/2000, M, M,0,0,0
2/14/2000, M, M,0.55,1,1
2/15/2000, M, M,0.21,0.5,1
2/16/2000, M, M,0.02,0, M
2/17/2000, M, M,0.09,1.5,2
2/18/2000, M, M,0,0, M
2/19/2000, M, M, M,6,6
2/20/2000, M, M,0,0, M
2/21/2000, M, M,0,0, M
2/22/2000, M, M,0.41,0, M
2/23/2000, M, M,0,0, M
2/24/2000, M, M,0.22,0,0
2/25/2000, M, M,0,0,0
2/26/2000, M, M,0,0,0
2/27/2000, M, M,0,0,0
2/28/2000, M, M,0.42,0,0
2/29/2000, M, M,0,0,0
3/1/2000, M, M,0,0,0
3/2/2000, M, M,0.01,0,0
3/3/2000, M, M,0.2,0,0
3/4/2000, M, M,0,0,0
3/5/2000, M, M,0,0,0
3/6/2000, M, M,0,0,0
3/7/2000, M, M,0,0,0
3/8/2000, M, M,0.1,0,0
3/9/2000, M, M,0,0,0
3/10/2000, M, M,0.12,0,0
3/11/2000, M, M,0,0,0
3/12/2000, M, M,0,0,0
3/13/2000, M, M,0.39, M,2
3/14/2000, M, M,0,0, M
3/15/2000, M, M,0,0, M
3/16/2000, M, M,0.05,0,0
3/17/2000, M, M,0.46,0,0
3/18/2000, M, M,0,0,0
3/19/2000, M, M,0,0,0
3/20/2000, M, M,0,0,0
3/21/2000, M, M,0,0,0
3/22/2000, M, M,0,0,0
3/23/2000, M, M,0,0,0
3/24/2000, M, M,0,0,0
3/25/2000, M, M,0,0,0
3/26/2000, M, M,0,0,0
3/27/2000, M, M,0,0,0
3/28/2000, M, M,0.2,0,0
3/29/2000, M, M,0.24,0,0
3/30/2000, M, M,0,0,0
3/31/2000, M, M,0.07,0,0
4/1/2000, M, M,0,0,0
4/2/2000, M, M,0,0,0
4/3/2000, M, M,0.25,0,0
4/4/2000, M, M,0.66,0,0
4/5/2000, M, M,0.13,0,0
4/6/2000, M, M,0.04,0,0
4/7/2000, M, M,0,0,0
4/8/2000, M, M,0,0,0
4/9/2000, M, M,0,0,0
4/10/2000, M, M,1.2,0,0
4/11/2000, M, M,0.06,0,0
4/12/2000, M, M,0.18,0,0
4/13/2000, M, M,0,0,0
4/14/2000, M, M,0,0,0
4/15/2000, M, M,0,0,0
4/16/2000, M, M,0,0,0
4/17/2000, M, M,0,0,0
4/18/2000, M, M,0.26,0,0
4/19/2000, M, M,0.01,0,0
4/20/2000, M, M,0,0,0
4/21/2000, M, M,0.77,0,0
4/22/2000, M, M,0,0,0
4/23/2000, M, M,0,0,0
4/24/2000, M, M,0.81,0,0
4/25/2000, M, M,0,0,0
4/26/2000, M, M,0,0,0
4/27/2000, M, M,0,0,0
4/28/2000, M, M,0.01,0,0
4/29/2000, M, M,0,0,0
4/30/2000, M, M,0,0,0
5/1/2000, M, M,0,0,0
5/2/2000, M, M,0.3,0,0
5/3/2000, M, M,0,0,0
5/4/2000, M, M,0,0,0
5/5/2000, M, M,0,0,0
5/6/2000, M, M,0,0,0
5/7/2000, M, M,0,0,0
5/8/2000, M, M,0,0,0
5/9/2000, M, M,0,0,0
5/10/2000, M, M,0.07,0,0
5/11/2000, M, M,0.62,0,0
5/12/2000, M, M,0.38,0,0
5/13/2000, M, M,1.97,0,0
5/14/2000, M, M,0.04,0,0
5/15/2000, M, M,0,0,0
5/16/2000, M, M,0,0,0
5/17/2000, M, M,0,0,0
5/18/2000, M, M,0.03,0,0
5/19/2000, M, M,0.72,0,0
5/20/2000, M, M,0.15,0,0
5/21/2000, M, M,0.02,0,0
5/22/2000, M, M,0,0,0
5/23/2000, M, M,0.07,0,0
5/24/2000, M, M,0.22,0,0
5/25/2000, M, M,0.01,0,0
5/26/2000, M, M,0.05,0,0
5/27/2000, M, M,0,0,0
5/28/2000, M, M,0,0,0
5/29/2000, M, M,0,0,0
5/30/2000, M, M,0,0,0
5/31/2000, M, M,0,0,0
6/1/2000, M, M,0.02,0,0
6/2/2000, M, M,0.02,0,0
6/3/2000, M, M,0.42,0,0
6/4/2000, M, M,0,0,0
6/5/2000, M, M,0,0,0
6/6/2000, M, M,0.51,0,0
6/7/2000, M, M,0.04,0,0
6/8/2000, M, M,0,0,0
6/9/2000, M, M,0.02,0,0
6/10/2000, M, M,0.02,0,0
6/11/2000, M, M,0,0,0
6/12/2000, M, M,0.19,0,0
6/13/2000, M, M,0.02,0,0
6/14/2000, M, M,1.38,0,0
6/15/2000, M, M,0,0,0
6/16/2000, M, M,0.46,0,0
6/17/2000, M, M,0.02,0,0
6/18/2000, M, M,0,0,0
6/19/2000, M, M,0.18,0,0
6/20/2000, M, M,0.03,0,0
6/21/2000, M, M,0.01,0,0
6/22/2000, M, M,1.26,0,0
6/23/2000, M, M,0.01,0,0
6/24/2000, M, M,0,0,0
6/25/2000, M, M,0,0,0
6/26/2000, M, M,0.04,0,0
6/27/2000, M, M,0.37,0,0
6/28/2000, M, M,0,0,0
6/29/2000, M, M,0,0,0
6/30/2000, M, M,0.12,0,0
7/1/2000, M, M,0,0,0
7/2/2000, M, M,0,0,0
7/3/2000, M, M,0,0,0
7/4/2000, M, M,0.25,0,0
7/5/2000, M, M,0,0,0
7/6/2000, M, M,0,0,0
7/7/2000, M, M,0,0,0
7/8/2000, M, M,0,0,0
7/9/2000, M, M,0,0,0
7/10/2000, M, M,0.08,0,0
7/11/2000, M, M,0,0,0
7/12/2000, M, M,0,0,0
7/13/2000, M, M,0,0,0
7/14/2000, M, M,0,0,0
7/15/2000, M, M,1.7,0,0
7/16/2000, M, M,0.21,0,0
7/17/2000, M, M,0,0,0
7/18/2000, M, M,0,0,0
7/19/2000, M, M,0,0,0
7/20/2000, M, M,0,0,0
7/21/2000, M, M,0,0,0
7/22/2000, M, M,0.02,0,0
7/23/2000, M, M,0,0,0
7/24/2000, M, M,0,0,0
7/25/2000, M, M,0,0,0
7/26/2000, M, M,0,0,0
7/27/2000, M, M,0,0,0
7/28/2000, M, M,0,0,0
7/29/2000, M, M,0,0,0
7/30/2000, M, M,0,0,0
7/31/2000, M, M,0,0,0
8/1/2000, M, M,2.42,0,0
8/2/2000, M, M,2.35,0,0
8/3/2000, M, M,0.01,0,0
8/4/2000, M, M,0,0,0
8/5/2000, M, M,0,0,0
8/6/2000, M, M,0,0,0
8/7/2000, M, M,0.76,0,0
8/8/2000, M, M,0,0,0
8/9/2000, M, M,0.03,0,0
8/10/2000, M, M,0.09,0,0
8/11/2000, M, M,0.02,0,0
8/12/2000, M, M,0.03,0,0
8/13/2000, M, M,0.35,0,0
8/14/2000, M, M,0,0,0
8/15/2000, M, M,0,0,0
8/16/2000, M, M,0.2,0,0
8/17/2000, M, M,0,0,0
8/18/2000, M, M,0,0,0
8/19/2000, M, M,0.02,0,0
8/20/2000, M, M,0,0,0
8/21/2000, M, M,0,0,0
8/22/2000, M, M,0,0,0
8/23/2000, M, M,0,0,0
8/24/2000, M, M,0.25,0,0
8/25/2000, M, M,0,0,0
8/26/2000, M, M,0,0,0
8/27/2000, M, M,0,0,0
8/28/2000, M, M,0,0,0
8/29/2000, M, M,0,0,0
8/30/2000, M, M,0,0,0
8/31/2000, M, M,0,0,0
9/1/2000, M, M,0,0,0
9/2/2000, M, M,0,0,0
9/3/2000, M, M,0.01,0,0
9/4/2000, M, M,0.02,0,0
9/5/2000, M, M,0.01,0,0
9/6/2000, M, M,0,0,0
9/7/2000, M, M,0,0,0
9/8/2000, M, M,0,0,0
9/9/2000, M, M,0.03,0,0
9/10/2000, M, M,0,0,0
9/11/2000, M, M,0,0,0
9/12/2000, M, M,0.17,0,0
9/13/2000, M, M,0.65,0,0
9/14/2000, M, M,0,0,0
9/15/2000, M, M,0.17,0,0
9/16/2000, M, M,0.01,0,0
9/17/2000, M, M,0,0,0
9/18/2000, M, M,0,0,0
9/19/2000, M, M,0,0,0
9/20/2000, M, M,0,0,0
9/21/2000, M, M,0.37,0,0
9/22/2000, M, M,0,0,0
9/23/2000, M, M,0.66,0,0
9/24/2000, M, M,0.08,0,0
9/25/2000, M, M,0.06,0,0
9/26/2000, M, M,0,0,0
9/27/2000, M, M,0,0,0
9/28/2000, M, M,0.05,0,0
9/29/2000, M, M,0,0,0
9/30/2000, M, M,0,0,0
10/1/2000, M, M,0,0, M
10/2/2000, M, M,0,0,0
10/3/2000, M, M,0,0,0
10/4/2000, M, M,0,0,0
10/5/2000, M, M,0.33,0,0
10/6/2000, M, M,0.58,0,0
10/7/2000, M, M,0.02,0,0
10/8/2000, M, M,0.13,0,0
10/9/2000, M, M,0,0,0
10/10/2000, M, M,0.13,0,0
10/11/2000, M, M,0.01,0,0
10/12/2000, M, M,0,0,0
10/13/2000, M, M,0,0,0
10/14/2000, M, M,0,0,0
10/15/2000, M, M,0,0,0
10/16/2000, M, M,0.67,0,0
10/17/2000, M, M,0.16,0,0
10/18/2000, M, M,0.32,0,0
10/19/2000, M, M,0,0,0
10/20/2000, M, M,0,0,0
10/21/2000, M, M,0,0,0
10/22/2000, M, M,0,0,0
10/23/2000, M, M,0,0,0
10/24/2000, M, M,0,0,0
10/25/2000, M, M,0,0,0
10/26/2000, M, M,0,0,0
10/27/2000, M, M,0,0,0
10/28/2000, M, M,0.3,0,0
10/29/2000, M, M,0,0,0
10/30/2000, M, M,0,0,0
10/31/2000, M, M,0,0,0
11/1/2000, M, M,0,0,0
11/2/2000, M, M,0,0,0
11/3/2000, M, M,0,0,0
11/4/2000, M, M,0,0,0
11/5/2000, M, M,0,0,0
11/6/2000, M, M,0.26,0,0
11/7/2000, M, M,0,0,0
11/8/2000, M, M,0,0,0
11/9/2000, M, M, T,0,0
11/10/2000, M, M,0,0,0
11/11/2000, M, M,0,0,0
11/12/2000, M, M,0,0,0
11/13/2000, M, M,0.93,0,0
11/14/2000, M, M,0.05,0,0
11/15/2000, M, M,0,0,0
11/16/2000, M, M,0,0,0
11/17/2000, M, M,0,0,0
11/18/2000, M, M,0,0,0
11/19/2000, M, M,0,0,0
11/20/2000, M, M,0,0,0
11/21/2000, M, M,0,0,0
11/22/2000, M, M,0,0,0
11/23/2000, M, M,0,0,0
11/24/2000, M, M,0,0,0
11/25/2000, M, M,0,0,0
11/26/2000, M, M,0,0,0
11/27/2000, M, M,0.42,0,0
11/28/2000, M, M,0.05,0,0
11/29/2000, M, M,0,0,0
11/30/2000, M, M,0,0,0
12/1/2000, M, M,0,0,0
12/2/2000, M, M,0,0,0
12/3/2000, M, M,0,0,0
12/4/2000, M, M,0,0,0
12/5/2000, M, M,0.03,0,0
12/6/2000, M, M,0,0,0
12/7/2000, M, M,0,0,0
12/8/2000, M, M,0.02,0,0
12/9/2000, M, M,0,0,0
12/10/2000, M, M,0,0,0
12/11/2000, M, M,0.01,0,0
12/12/2000, M, M,0,0,0
12/13/2000, M, M,0.19,0,0
12/14/2000, M, M,0.36, M,4
12/15/2000, M, M,0,0, M
12/16/2000, M, M,0,0, M
12/17/2000, M, M,0,0, M
12/18/2000, M, M,0.13,0,0
12/19/2000, M, M,0,0,0
12/20/2000, M, M,0.03,0,0
12/21/2000, M, M,0,0,0
12/22/2000, M, M,0.02,0,0
12/23/2000, M, M,0,0,0
12/24/2000, M, M,0,0,0
12/25/2000, M, M,0,0,0
12/26/2000, M, M,0.06,0,0
12/27/2000, M, M,0,0,0
12/28/2000, M, M,0,0,0
12/29/2000, M, M,0,0,0
12/30/2000, M, M,0,0,0
12/31/2000, M, M,0,0,0
1/1/2001, M, M,0,0, M
1/2/2001, M, M,0.21,0,0
1/3/2001, M, M,0,0,0
1/4/2001, M, M,0,0,0
1/5/2001, M, M,0,0,0
1/6/2001, M, M,0,0,0
1/7/2001, M, M,0,0,0
1/8/2001, M, M,0.08,0,0
1/9/2001, M, M,0,0,0
1/10/2001, M, M,0.09,0,0
1/11/2001, M, M,0,0,0
1/12/2001, M, M,0,0,0
1/13/2001, M, M,0,0,0
1/14/2001, M, M,0,0,0
1/15/2001, M, M,0,0,0
1/16/2001, M, M,0.07,0,0
1/17/2001, M, M,0.06,0,0
1/18/2001, M, M,0.02,0,0
1/19/2001, M, M,0,0,0
1/20/2001, M, M,0,0,0
1/21/2001, M, M,0,0,0
1/22/2001, M, M,0.08,0,0
1/23/2001, M, M,0,0,0
1/24/2001, M, M,0,0,0
1/25/2001, M, M,0,0,0
1/26/2001, M, M,0,0,0
1/27/2001, M, M,0,0,0
1/28/2001, M, M,0,0,0
1/29/2001, M, M,0.06,0,0
1/30/2001, M, M,0.05,0,0
1/31/2001, M, M,0.57,0,0
2/1/2001, M, M,0,0,0
2/2/2001, M, M,0,0,0
2/3/2001, M, M,0,0,0
2/4/2001, M, M,0,0,0
2/5/2001, M, M,0.02,0,0
2/6/2001, M, M,0.08,0,0
2/7/2001, M, M,0,0,0
2/8/2001, M, M,0.62,0,0
2/9/2001, M, M,0.2,0,0
2/10/2001, M, M,0,0,0
2/11/2001, M, M,0,0,0
2/12/2001, M, M,0,0,0
2/13/2001, M, M,0,0,0
2/14/2001, M, M,0,0,0
2/15/2001, M, M,0.4,0,0
2/16/2001, M, M,0,0,0
2/17/2001, M, M,0,0,0
2/18/2001, M, M,0,0,0
2/19/2001, M, M,0,0,0
2/20/2001, M, M,0,0,0
2/21/2001, M, M,0.08,0,0
2/22/2001, M, M,0,0,0
2/23/2001, M, M,0,0,0
2/24/2001, M, M,0,0,0
2/25/2001, M, M,0,0,0
2/26/2001, M, M,0.35,0,0
2/27/2001, M, M,0,0,0
2/28/2001, M, M,0.05,0,0
3/1/2001, M, M,0.09,0,0
3/2/2001, M, M,0,0,0
3/3/2001, M, M,0,0,0
3/4/2001, M, M,0,0,0
3/5/2001, M, M,0.17,0,0
3/6/2001, M, M,0.15,0,0
3/7/2001, M, M,0.06,0,0
3/8/2001, M, M,0,0,0
3/9/2001, M, M,1.02,0,0
3/10/2001, M, M,0,0,0
3/11/2001, M, M,0,0,0
3/12/2001, M, M,0,0,0
3/13/2001, M, M,0.56,0,0
3/14/2001, M, M,0.06,0,0
3/15/2001, M, M,0,0,0
3/16/2001, M, M,0,0,0
3/17/2001, M, M,0,0,0
3/18/2001, M, M,0,0,0
3/19/2001, M, M,0.52,0,0
3/20/2001, M, M,0,0,0
3/21/2001, M, M,0,0,0
3/22/2001, M, M,1.09,0,0
3/23/2001, M, M,0,0,0
3/24/2001, M, M,0,0,0
3/25/2001, M, M,0,0,0
3/26/2001, M, M,0.17,0,0
3/27/2001, M, M,0.03,0,0
3/28/2001, M, M,0,0,0
3/29/2001, M, M,0,0,0
3/30/2001, M, M,0.42,0,0
3/31/2001, M, M,0,0,0
4/1/2001, M, M, M, M, M
4/2/2001, M, M, M, M, M
4/3/2001, M, M, M, M, M
4/4/2001, M, M, M, M, M
4/5/2001, M, M, M, M, M
4/6/2001, M, M, M, M, M
4/7/2001, M, M, M, M, M
4/8/2001, M, M, M, M, M
4/9/2001, M, M, M, M, M
4/10/2001, M, M, M, M, M
4/11/2001, M, M, M, M, M
4/12/2001, M, M, M, M, M
4/13/2001, M, M, M, M, M
4/14/2001, M, M, M, M, M
4/15/2001, M, M, M, M, M
4/16/2001, M, M, M, M, M
4/17/2001, M, M, M, M, M
4/18/2001, M, M, M, M, M
